# Performance Monitoring Events for Intel Core i7 and i5 Processors Based on the Nehalem-EP Microarchitecture - V2
# 8/16/2016 3:12:15 PM
# Copyright (c) 2007 - 2016 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	SampleAfterValue	MSRIndex	MSRValue	CounterMask	Invert	AnyThread	EdgeDetect	PEBS
0x14	0x1	ARITH.CYCLES_DIV_BUSY	Cycles the divider is busy	0,1,2,3	2000000	0	0	0	0	0	0	0
0x14	0x1	ARITH.DIV	Divide Operations executed	0,1,2,3	2000000	0	0	1	1	0	1	0
0x14	0x2	ARITH.MUL	Multiply operations executed	0,1,2,3	2000000	0	0	0	0	0	0	0
0xE6	0x2	BACLEAR.BAD_TARGET	BACLEAR asserted with bad target address	0,1,2,3	2000000	0	0	0	0	0	0	0
0xE6	0x1	BACLEAR.CLEAR	BACLEAR asserted, regardless of cause 	0,1,2,3	2000000	0	0	0	0	0	0	0
0xA7	0x1	BACLEAR_FORCE_IQ	Instruction queue forced BACLEAR	0,1,2,3	2000000	0	0	0	0	0	0	0
0xE8	0x1	BPU_CLEARS.EARLY	Early Branch Prediciton Unit clears	0,1,2,3	2000000	0	0	0	0	0	0	0
0xE8	0x2	BPU_CLEARS.LATE	Late Branch Prediction Unit clears	0,1,2,3	2000000	0	0	0	0	0	0	0
0xE5	0x1	BPU_MISSED_CALL_RET	Branch prediction unit missed call or return	0,1,2,3	2000000	0	0	0	0	0	0	0
0xE0	0x1	BR_INST_DECODED	Branch instructions decoded	0,1,2,3	2000000	0	0	0	0	0	0	0
0x88	0x7F	BR_INST_EXEC.ANY	Branch instructions executed	0,1,2,3	200000	0	0	0	0	0	0	0
0x88	0x1	BR_INST_EXEC.COND	Conditional branch instructions executed	0,1,2,3	200000	0	0	0	0	0	0	0
0x88	0x2	BR_INST_EXEC.DIRECT	Unconditional branches executed	0,1,2,3	200000	0	0	0	0	0	0	0
0x88	0x10	BR_INST_EXEC.DIRECT_NEAR_CALL	Unconditional call branches executed	0,1,2,3	20000	0	0	0	0	0	0	0
0x88	0x20	BR_INST_EXEC.INDIRECT_NEAR_CALL	Indirect call branches executed	0,1,2,3	20000	0	0	0	0	0	0	0
0x88	0x4	BR_INST_EXEC.INDIRECT_NON_CALL	Indirect non call branches executed	0,1,2,3	20000	0	0	0	0	0	0	0
0x88	0x30	BR_INST_EXEC.NEAR_CALLS	Call branches executed	0,1,2,3	20000	0	0	0	0	0	0	0
0x88	0x7	BR_INST_EXEC.NON_CALLS	All non call branches executed	0,1,2,3	200000	0	0	0	0	0	0	0
0x88	0x8	BR_INST_EXEC.RETURN_NEAR	Indirect return branches executed	0,1,2,3	20000	0	0	0	0	0	0	0
0x88	0x40	BR_INST_EXEC.TAKEN	Taken branches executed	0,1,2,3	200000	0	0	0	0	0	0	0
0xC4	0x4	BR_INST_RETIRED.ALL_BRANCHES	Retired branch instructions (Precise Event)	0,1,2,3	200000	0	0	0	0	0	0	1
0xC4	0x1	BR_INST_RETIRED.CONDITIONAL	Retired conditional branch instructions (Precise Event)	0,1,2,3	200000	0	0	0	0	0	0	1
0xC4	0x2	BR_INST_RETIRED.NEAR_CALL	Retired near call instructions (Precise Event)	0,1,2,3	20000	0	0	0	0	0	0	1
0xC4	0x2	BR_INST_RETIRED.NEAR_CALL_R3	Retired near call instructions Ring 3 only(Precise Event)	0,1,2,3	20000	0	0	0	0	0	0	1
0x89	0x7F	BR_MISP_EXEC.ANY	Mispredicted branches executed	0,1,2,3	20000	0	0	0	0	0	0	0
0x89	0x1	BR_MISP_EXEC.COND	Mispredicted conditional branches executed	0,1,2,3	20000	0	0	0	0	0	0	0
0x89	0x2	BR_MISP_EXEC.DIRECT	Mispredicted unconditional branches executed	0,1,2,3	20000	0	0	0	0	0	0	0
0x89	0x10	BR_MISP_EXEC.DIRECT_NEAR_CALL	Mispredicted non call branches executed	0,1,2,3	2000	0	0	0	0	0	0	0
0x89	0x20	BR_MISP_EXEC.INDIRECT_NEAR_CALL	Mispredicted indirect call branches executed	0,1,2,3	2000	0	0	0	0	0	0	0
