# Performance Monitoring Events for Intel Xeon Processor 3600, 5600 series Based on the Westmere-EP Microarchitecture - V2
# 8/16/2016 3:19:26 PM
# Copyright (c) 2007 - 2016 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	SampleAfterValue	MSRIndex	MSRValue	CounterMask	Invert	AnyThread	EdgeDetect	PEBS
0xB7	0x1	OFFCORE_RESPONSE.ANY_DATA.ALL_LOCAL_DRAM_AND_REMOTE_CACHE_HIT_0	REQUEST = ANY_DATA read and RESPONSE = ALL_LOCAL_DRAM AND REMOTE_CACHE_HIT	2	100000	0x1A6	0x5011	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_DATA.ANY_CACHE_DRAM_0	REQUEST = ANY_DATA read and RESPONSE = ANY_CACHE_DRAM	2	100000	0x1A6	0x7f11	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_DATA.ANY_DRAM_AND_REMOTE_FWD_0	REQUEST = ANY_DATA read and RESPONSE = ANY_DRAM AND REMOTE_FWD	2	100000	0x1A6	0x3011	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_DATA.ANY_LLC_MISS_0	REQUEST = ANY_DATA read and RESPONSE = ANY_LLC_MISS	2	100000	0x1A6	0xf811	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_DATA.ANY_LOCATION_0	REQUEST = ANY_DATA read and RESPONSE = ANY_LOCATION	2	100000	0x1A6	0xff11	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_DATA.IO_CSR_MMIO_0	REQUEST = ANY_DATA read and RESPONSE = IO_CSR_MMIO	2	100000	0x1A6	0x8011	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_DATA.LLC_HIT_NO_OTHER_CORE_0	REQUEST = ANY_DATA read and RESPONSE = LLC_HIT_NO_OTHER_CORE	2	100000	0x1A6	0x111	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_DATA.LLC_HIT_OTHER_CORE_HIT_0	REQUEST = ANY_DATA read and RESPONSE = LLC_HIT_OTHER_CORE_HIT	2	100000	0x1A6	0x211	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_DATA.LLC_HIT_OTHER_CORE_HITM_0	REQUEST = ANY_DATA read and RESPONSE = LLC_HIT_OTHER_CORE_HITM	2	100000	0x1A6	0x411	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_DATA.LOCAL_CACHE_0	REQUEST = ANY_DATA read and RESPONSE = LOCAL_CACHE	2	100000	0x1A6	0x711	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_DATA.LOCAL_DRAM_AND_REMOTE_CACHE_HIT_0	REQUEST = ANY_DATA read and RESPONSE = LOCAL_DRAM AND REMOTE_CACHE_HIT	2	100000	0x1A6	0x1011	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_DATA.OTHER_LOCAL_DRAM_0	REQUEST = ANY_DATA read and RESPONSE = OTHER_LOCAL_DRAM	2	100000	0x1A6	0x4011	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_DATA.REMOTE_CACHE_HITM_0	REQUEST = ANY_DATA read and RESPONSE = REMOTE_CACHE_HITM	2	100000	0x1A6	0x811	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_DATA.REMOTE_DRAM_0	REQUEST = ANY_DATA read and RESPONSE = REMOTE_DRAM	2	100000	0x1A6	0x2011	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_IFETCH.ALL_LOCAL_DRAM_AND_REMOTE_CACHE_HIT_0	REQUEST = ANY IFETCH and RESPONSE = ALL_LOCAL_DRAM AND REMOTE_CACHE_HIT	2	100000	0x1A6	0x5044	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_IFETCH.ANY_CACHE_DRAM_0	REQUEST = ANY IFETCH and RESPONSE = ANY_CACHE_DRAM	2	100000	0x1A6	0x7f44	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_IFETCH.ANY_DRAM_AND_REMOTE_FWD_0	REQUEST = ANY IFETCH and RESPONSE = ANY_DRAM AND REMOTE_FWD	2	100000	0x1A6	0x3044	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_IFETCH.ANY_LLC_MISS_0	REQUEST = ANY IFETCH and RESPONSE = ANY_LLC_MISS	2	100000	0x1A6	0xf844	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_IFETCH.ANY_LOCATION_0	REQUEST = ANY IFETCH and RESPONSE = ANY_LOCATION	2	100000	0x1A6	0xff44	0	0	0	0	0
0xB7	0x1	OFFCORE_RESPONSE.ANY_IFETCH.IO_CSR_MMIO_0	REQUEST = ANY IFETCH and RESPONSE = IO_CSR_MMIO	2	100000	0x1A6	0x8044	0	0	0	0	0
